331.0,182.0
310.0,128.0
326.0,72.0
252.0,210.0
231.0,159.0
183.0,132.0
472.0,216.0
491.0,164.0
539.0,133.0
395.0,182.0
414.0,127.0
400.0,72.0
544.0,334.0
596.0,315.0
651.0,330.0
513.0,261.0
561.0,235.0
594.0,189.0
512.0,472.0
559.0,494.0
586.0,540.0
542.0,394.0
593.0,415.0
647.0,397.0
393.0,536.0
415.0,585.0
398.0,642.0
465.0,505.0
491.0,554.0
536.0,585.0
261.0,510.0
239.0,566.0
188.0,589.0
340.0,546.0
318.0,602.0
334.0,653.0
198.0,394.0
145.0,415.0
81.0,408.0
221.0,468.0
173.0,500.0
128.0,532.0
208.0,249.0
159.0,229.0
130.0,184.0
186.0,336.0
133.0,315.0
78.0,329.0
324.0,298.0
292.0,358.0
322.0,419.0
397.0,420.0
427.0,360.0
395.0,298.0
